نوع البطوله ,الفريق الاول,الفريق الثاني,ميعاد المباراة,النتيجة
الدوري المصري,المصري,أسوان,17:00,1 - 2
الدوري المصري,الزمالك,الإسماعيلي,19:00,3 - 1
الدوري الإسباني,جيرونا,رايو فاييكانو,18:00,2 - 2
الدوري الإسباني,ريال بيتيس,اتليتك بلباو,20:15,0 - 0
الدوري الإسباني,اتلتيكو مدريد,إلتشي,22:30,2 - 0
الدوري الفرنسي,لوريان,مونبيليه,18:00,0 - 2
الدوري الفرنسي,ريمس,رين,20:00,3 - 1
الدوري الفرنسي,مارسيليا,تولوز,22:00,6 - 1
الدوري الفرنسي,نيس,لانس,22:00,0 - 0
الدوري التركي,سيفاسبور,جالاتا سراي,16:00,1 - 2
الدوري التركي,جيرسون سبور,غازي عنتاب بي.بي.كي,16:00,2 - 1
الدوري التركي,بشكتاش,أضنة دمير سبور,19:00,1 - 0
الدوري البرتغالي,جل فيسنتي,سانتا كلارا,19:00,1 - 0
الدوري البرتغالي,إستوريل,بوافيستا,21:00,0 - 0
الدوري البرتغالي,سبورتينج لشبونة,باكوس فيريرا,23:15,3 - 0
الدوري المغربي,الجيش الملكي,الوداد البيضاوي,17:00,3 - 0
الدوري المغربي,شباب المحمدية,أولمبيك آسفي,17:00,1 - 2
الدوري المغربي,الدفاع الجديدي,الفتح الرباطي,19:15,0 - 3
